代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
000150.SZ,宜华健康,刘绍喜,个人,"刘绍喜,男,1963年12月生,中国国籍,汉族,中共党员,工商管理硕士(MBA),全国青联委,广东省青联副主席,广东省企业家协会副会长,中国林产工业协会地板专业委员会副理事长.历获“广东省劳动模范”,“广东省十大杰出青年”,第十一届“中国十大杰出青年”提名奖,“全国优秀乡镇企业家”,第三届“中华管理英才”,“广东省优秀中国特色社会主义事业建设者”,“中国地板行业杰出人物”,“全国五一劳动奖章”等荣誉.系广东省第九次党代会代表,广东省第九届政协委员,广东省汕头市第十届人大代表和第五届政协委员,第六届政协常委.刘绍喜先生具有丰富的企业经营管理经验,现任广东省宜华木业股份有限公司(股票代码:600978)董事长兼总经理,宜华集团党委副书记.刘绍喜先生与刘绍生先生系兄弟关系.",CSRC卫生,Wind医疗保健设备与服务
000151.SZ,中成股份,国务院国有资产监督管理委员会,国资委,,CSRC批发业,Wind资本货物
000153.SZ,丰原药业,李荣杰,个人,"李荣杰先生:研究生学历,高级工程师,中国国籍,中共党员,中共十六大代表,第十届,十一届全国人大代表.现任安徽丰原集团有限公司党委书记,董事长,蚌埠银河生物科技股份有限公司董事长.曾任蚌埠化肥厂技术员,蚌埠华能无水柠檬酸厂生产科长,副厂长,负责人,蚌埠柠檬酸厂党委书记,厂长,安徽丰原集团有限公司总经理,安徽丰原生物化学股份有限公司董事长等职务.",CSRC医药制造业,Wind制药、生物科技与生命科学
000155.SZ,*ST川化,四川省国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000156.SZ,华数传媒,杭州市财政局,地方政府,,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
000156.SZ,华数传媒,浙江省财政厅,地方政府,,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
000158.SZ,常山股份,石家庄市国有资产监督管理委员会,地方国资委,,CSRC纺织业,Wind耐用消费品与服装
000159.SZ,国际实业,张彦夫,个人,"张彦夫,国籍中国,曾任新疆通宝能源投资有限公司总经理；现任乾泰中晟股权投资有限公司执行董事、天津乾泰中晟投资有限公司法定代表人、新疆国际实业股份有限公司监事长",CSRC批发业,Wind能源Ⅱ
000166.SZ,申万宏源,中央汇金投资有限责任公司,中央国有企业,"公司名称:中央汇金投资有限责任公司,注册地址:北京市东城区朝阳门北大街1号新保利大厦,法定代表人:丁学东,注册资本:828,208,627,183.88元,实收资本828,208,627,183.88元,成立日期:2003年12月16日,经营范围:许可经营项目(无).一般经营项目:接受国家授权,对国有重点金融企业进行股权投资.2003年12月,中央汇金成立,代表国家依法行使对国有商业银行等重点金融企业出资人的权利和义务.中央汇金的重要股东职责由国务院行使.中央汇金董事会,监事会成员由国务院任命,对国务院负责.中央汇金根据国务院授权,对国有重点金融企业进行股权投资,以出资额为限代表国家依法对国有重点金融企业行使出资人权利和履行出资人义务,实现国有金融资产保值增值.",CSRC资本市场服务,Wind多元金融
000301.SZ,东方市场,苏州市吴江区人民政府国有资产监督管理办公室,地方国资委,,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000333.SZ,美的集团,何享健,个人,何享健：中国国籍，现任美的控股董事长,CSRC电气机械及器材制造业,Wind耐用消费品与服装
000338.SZ,潍柴动力,山东省国有资产监督管理委员会,地方国资委,,CSRC汽车制造业,Wind资本货物
000400.SZ,许继电气,国务院国有资产管理委员会,国资委,"国务院国资委为国务院直属特设机构,根据国务院授权,依照《公司法》等法律和行政法规,对所监管国有企业履行出资人职责.",CSRC电气机械及器材制造业,Wind资本货物
000401.SZ,冀东水泥,北京市人民政府国有资产监督管理委员会,地方国资委,,CSRC非金属矿物制品业,Wind材料Ⅱ
000402.SZ,金融街,北京市西城区国有资产监督管理委员会,地方国资委,负责人是西城区区长.,CSRC房地产业,Wind房地产Ⅱ
000403.SZ,ST生化,史珉志,个人,"实际控制人史珉志,男,中国国籍,大专学历,1971 年前在山西省河津市上学,此后历任教师,校办企业厂长等职,1980 年后自筹资金创办民营企业至今.",CSRC医药制造业,Wind制药、生物科技与生命科学
000404.SZ,华意压缩,绵阳市国有资产监督管理委员会,地方国资委,"受同级政府委托,统一行使国有资产所有者职能的决策和管理,对所属国有资产实行综合管理和监督的机构.",CSRC通用设备制造业,Wind资本货物
000407.SZ,胜利股份,赖淦锋,个人,赖淦锋，男，1975年出生，中国国籍，无其他国家和地区居留权，身份证号码为4130219750921****，住所为广州市海珠区赏湖街*******，现持有润铠胜股权，为润铠胜实际控制人。,CSRC燃气生产和供应业,Wind公用事业Ⅱ
000408.SZ,金谷源,肖永明,个人,肖永明，1964年7月出生，中国国籍，无永久境外居住权，身份证号511023196407******，住所为北京市房山区韩村河镇******。大专学历，现任藏格钾肥董事长、永鸿实业执行董事、中浩天然气执行董事、西藏中利实业有限公司董事长、西藏中汇实业有限公司董事长、西藏巨龙铜业有限公司董事长、藏格投资执行董事。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000409.SZ,山东地矿,山东省地质矿产勘查开发局,地方政府,"法定代表人/单位负责人王玉君主要经营业务主要承担地质矿产勘查,水文地质勘查,环境地质勘查,勘察施工等职能.",CSRC综合,Wind资本货物
000410.SZ,*ST沈机,沈阳市国有资产监督管理委员会,地方国资委,,CSRC通用设备制造业,Wind资本货物
000411.SZ,英特集团,国务院国有资产监督管理委员会,国资委,,CSRC批发业,Wind食品与主要用品零售Ⅱ
000413.SZ,东旭光电,李兆廷,个人,李兆廷先生，中国国籍，1965年出生，毕业于河北工学院机械制造专业，正高级工程师，中国共产党党员，东旭集团创始人。历任石家庄市柴油机厂总经理助理、副总经理，河北东旭投资集团有限公司董事长等职务。现任公司及下属子公司芜湖东旭光电科技有限公司等公司董事长，兼任东旭集团有限公司、东旭光电投资有限公司等公司董事长，中光电科技有限公司总经理、成都中光电科技有限公司副董事长兼总经理等职务。第十二届全国人大代表，中国生产力学会创新推进委员会副理事长、中国硅酸盐学会电子玻璃分会副理事长，北京大学名誉校董、中国人民大学、北京交通大学董事会董事，河北省青年联合会常委、河北省青年企业家常务理事。曾获“2012创新中国十大年度人物”、“2013年度最受尊敬上市公司领导者”、“2014年度中国经济十大创新领军人物”、“2014品牌中国（电子信息）年度人物”、“2014年河北省政府质量奖个人奖”、“河北省优秀民营企业家”、“石家庄市优秀青年企业家”等荣誉称号和奖项。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000415.SZ,渤海金控,海南省慈航公益基金会,其他,海南省慈航公益基金会：法定代表人/单位负责人孙明宇，成立日期：2010年10月08日，组织机构代码：56240687-0，主要经营业务：接受社会各界捐赠；赈灾救助；扶贫济困；慈善救助；公益援助；组织热心支持和参与慈善事业的志愿者队伍，开展多种形式的慈善活动。,CSRC租赁业,Wind多元金融
000416.SZ,民生控股,卢志强,个人,"卢志强,中国国籍,曾任全国工商联副主席，泛海控股股份有限公司第三至第八届董事会董事长。现任全国政协常委、中国民间商会副会长、泛海集团有限公司董事长兼总裁、中国泛海控股集团有限公司董事长兼总裁、泛海控股股份有限公司董事长、中国民生银行股份有限公司副董事长、联想控股股份有限公司董事、复旦大学校董等。",CSRC其他金融业,Wind多元金融
000417.SZ,合肥百货,合肥市国有资产监督管理委员会,地方国资委,,CSRC零售业,Wind零售业
000418.SZ,小天鹅A,何享健,个人,"何享健:国籍:中国,现任美的控股董事长,曾任美的集团董事长",CSRC电气机械及器材制造业,Wind耐用消费品与服装
000419.SZ,通程控股,长沙市国有资产监督管理委员会,地方国资委,,CSRC零售业,Wind零售业
000420.SZ,吉林化纤,吉林市人民政府国有资产监督管理委员会,地方国资委,"法定代表人:李弼枢,成立时间:1998年5月07日,主要经营业务:国有资产管理",CSRC化学纤维制造业,Wind材料Ⅱ
000421.SZ,南京公用,南京市人民政府国有资产监督管理委员会,地方国资委,,CSRC燃气生产和供应业,Wind公用事业Ⅱ
000422.SZ,湖北宜化,宜昌市国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000423.SZ,东阿阿胶,国务院国有资产监督管理委员会,国资委,,CSRC医药制造业,Wind制药、生物科技与生命科学
000425.SZ,徐工机械,徐州市人民政府国有资产监督管理委员会,地方政府,,CSRC专用设备制造业,Wind资本货物
000426.SZ,兴业矿业,吉兴业,个人,"吉兴业,男,1959 年 12 月出生,高中学历.曾任内蒙古兴业集团股份有限公司董事长.现任本公司董事长,内蒙古兴业集团股份有限公司董事长.",CSRC有色金属矿采选业,Wind材料Ⅱ
000428.SZ,华天酒店,湖南省国有资产监督管理委员会,地方国资委,湖南省国有资产监督管理委员会，法定代表人/单位负责人：丛培模，成立日期1997年11月09日,CSRC住宿业,Wind消费者服务Ⅱ
000429.SZ,粤高速A,广东省国有资产监督管理委员会,地方国资委,,CSRC道路运输业,Wind运输
000430.SZ,张家界,张家界市人民政府国有资产监督管理委员会,地方国资委,,CSRC公共设施管理业,Wind消费者服务Ⅱ
000488.SZ,晨鸣纸业,寿光市国有资产监督管理办公室,地方国资委,"寿光市国有资产监督管理办公室,法定代表人/单位负责人:付心刚,成立日期:1991年08月01日,组织机构代码:137078300401,注册资本2万元,主要经营业务:负责全市企事业单位国有资产管理及资本运营工作.",CSRC造纸及纸制品业,Wind材料Ⅱ
000498.SZ,山东路桥,山东省人民政府国有资产监督管理委员会,地方国资委,,CSRC土木工程建筑业,Wind运输
000501.SZ,鄂武商A,武汉市国有资产监督管理委员会,地方国资委,,CSRC零售业,Wind零售业
000502.SZ,绿景控股,余斌,个人,"余斌,中国国籍,1999年至今任广州市丰嘉企业发展有限公司董事长；2004年至今，任香港联交所主板上市公司天誉置业（控股）有限公司董事局主席、行政总裁；2007年1月至今，任绿景控股股份有限公司董事长。",CSRC房地产业,Wind房地产Ⅱ
000503.SZ,海虹控股,康乔,个人,"康乔,中国籍,未取得其他国家或地区的居留权,最近五年任职于海虹企业(控股)股份有限公司.",CSRC互联网和相关服务,Wind软件与服务
000504.SZ,南华生物,湖南省人民政府,地方政府,,CSRC新闻和出版业,Wind制药、生物科技与生命科学
000505.SZ,珠江控股,北京市国有资产监督管理委员会,地方国资委,,CSRC房地产业,Wind房地产Ⅱ
000506.SZ,中润资源,郭昌玮,个人,"郭昌玮,男,身份证号110108*****3014住所北京市海淀区万柳华府尚园*号楼*单元*号,国籍中国,未取得其他国家和地区居留权，长期居住地为中国大陆",CSRC有色金属矿采选业,Wind房地产Ⅱ
000507.SZ,珠海港,珠海市人民政府国有资产监督管理委员会,地方国资委,"实际控制人名称,珠海市人民政府国有资产监督管理委员会;法定代表人/单位负责人,吴爱存",CSRC水上运输业,Wind运输
000509.SZ,华塑控股,李雪峰,个人,李雪峰先生于2012年4月至今就职于盛世国际影视文化传媒（北京）有限公司任监事；2016年6月至今就职于上海盛世星晨文化传媒有限公司任执行董事；2016年9月至今就职于北京极兴文化传媒有限公司任执行董事兼经理；2016年12月至今就职于常州中庚实业有限公司任执行董事；2016年12月至今就职于浙江浦江域耀资产管理有限公司任执行董事兼经理。,CSRC橡胶和塑料制品业,Wind资本货物
000509.SZ,华塑控股,张子若,个人,张子若女士于2007年2月至2010年12月就职于宜昌市易中物流有限责任公司任总经理助理；2011年4月至2013年4月就职于合肥滨禾商贸有限公司任执行董事兼总经理；2013年11月至今就职于湖北禾沁食品有限公司任总经理；2017年3月至今就职于浙江浦江域耀资产管理有限公司任监事。,CSRC橡胶和塑料制品业,Wind资本货物
000510.SZ,金路集团,刘江东,个人,"男,1975年生,中共党员,大专学历.1993年至1996年,服役于中国人民解放军54军127师380团,并在服役期间参加函授法律专科学习;2005年至2009年,在达州市从事煤炭贸易工作;自2015年起至今,在四川大学商学院EDP培训中心企业家高级研修班学习.现任达州市胜利煤业有限公司总经理,四川东芮实业有限公司董事长,四川金路集团股份有限公司总裁.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000511.SZ,*ST烯碳,刘成文,个人,"刘成文,男,1955年生人,中国国籍.曾任沈阳银基发展股份有限公司董事长,总经理,现任沈阳银基集团有限责任公司董事长,沈阳银基发展股份有限公司董事.",CSRC非金属矿物制品业,Wind材料Ⅱ
000513.SZ,丽珠集团,朱保国,个人,朱保国先生，现为本公司董事长、非执行董事及战略委员会主席，并于本集团其他附属公司兼任董事。1985年毕业于河南师范大学化学系并获学士学位。自2002年起至今一直任本公司董事长，2006年4月至2013年9月期间曾兼任本公司总裁。朱保国先生为健康元创始人，现任该公司董事长。自2012年6月任深圳市工商业联合会副主席。朱保国先生为本公司控股股东之一刘广霞女士的配偶。,CSRC医药制造业,Wind制药、生物科技与生命科学
000514.SZ,渝开发,重庆市国有资产监督管理委员会,地方国资委,"重庆市国有资产监督管理委员会,成立日期:2003年10月08日",CSRC房地产业,Wind房地产Ⅱ
000516.SZ,国际医学,刘建申,个人,刘建申，国籍中国，现任申华控股集团有限公司投资委员会主席。刘建申先生是第十届、第十一届全国人大代表，陕西省总商会第十届副会长。,CSRC零售业,Wind医疗保健设备与服务
000517.SZ,荣安地产,王久芳,个人,"王久芳,中国国籍,无其他国家或地区居留权，荣安集团股份有限公司、荣安地产股份有限公司董事长",CSRC房地产业,Wind房地产Ⅱ
